Total unique instances: 7745
Total mastodon.social instances: 137991
Total non-mastodon.social instances: 98486

Instance Rankings:
gs.kawa-kun.com: 16
3.nu: 16
social.yesterweb.org: 16
snaggletooth.life: 16
awoo.church: 16
this-is-epic.space: 16
mastodon.roflcopter.fr: 16
mostr.pub: 16
anime.website: 16
pxlmo.com: 16
libretooth.gr: 15
digipres.club: 15
instance.business: 15
mastodon.technology: 15
theblower.au: 15
content.town: 15
bbq.snoot.com: 15
soc.uwu.st: 15
indiepocalypse.social: 15
reseaujaune.com: 15
diaspodon.fr: 15
nebbia.lab61.org: 15
mastodon.yokohama: 15
tuxspace.net: 15
nightmare.zone: 15
fgc.network: 15
woof.group: 15
tube.tchncs.de: 15
butts.masto.host: 15
ru.social: 15
satania.space: 14
bikeshed.party: 14
plateia.org: 14
cmpwn.com: 14
apoil.org: 14
dtp-mstdn.jp: 14
timetheft.social: 14
en.osm.town: 14
mastodon.nzoss.nz: 14
idf.social: 14
social.anoxinon.de: 14
anti.energy: 14
mellified.men: 14
pleroma.fr: 14
dragonchat.org: 14
mastodon.jalgi.eus: 14
mastodon.triggerphra.se: 14
ffxiv-mastodon.com: 14
social.xenofem.me: 14
video.ploud.fr: 14
kancolle.social: 14
kinnie.masto.host: 14
planet.moe: 14
pagan.plus: 14
juche.town: 14
peertube.su: 14
wasaradan.m.to: 14
tvdon.tv: 14
mastodon.ocf.berkeley.edu: 13
bot.undernet.uy: 13
m.g3l.org: 13
pounced-on.me: 13
rva.party: 13
kosmos.social: 13
masto.nu: 13
soc.ua-fediland.de: 13
muenchen.social: 13
nitecrew.rip: 13
polyglot.city: 13
mastodon.wafflec.one: 13
mastodon.dotopia.dk: 13
music.pawoo.net: 13
stop.voring.me: 13
urbanists.social: 13
climatejustice.social: 13
oslo.town: 13
scalie.club: 13
donteatanimals.org: 13
mastodon.cipherbliss.com: 13
lamp.institute: 13
kpopjp.net: 13
eightpoint.app: 13
swingset.social: 13
cliq.social: 13
digitalcourage.social: 13
noisebridge.social: 13
busshi.moe: 13
mastodontti.fi: 13
vgmnation.com: 13
tkz.one: 13
submarin.online: 13
innerwebs.social: 12
techn.ical.ist: 12
openweb.social: 12
rainbowdash.net: 12
beeping.town: 12
dolphin.town: 12
det.social: 12
mastodon.coffee: 12
mastodon.elte.hu: 12
social.sdf.org: 12
conf.tube: 12
7144.party: 12
